"service_id","date","exception_type"
"3_月水金","20221007","1"
"3_月水金","20221012","1"
"3_月水金","20221014","1"
"3_月水金","20221017","1"
"3_月水金","20221019","1"
"3_月水金","20221021","1"
"3_月水金","20221024","1"
"3_月水金","20221026","1"
"3_月水金","20221028","1"
"3_月水金","20221031","1"
"3_月水金","20221102","1"
"3_月水金","20221104","1"
"3_月水金","20221107","1"
"3_月水金","20221109","1"
"3_月水金","20221111","1"
"3_月水金","20221114","1"
"3_月水金","20221116","1"
"3_月水金","20221118","1"
"3_月水金","20221121","1"
"3_月水金","20221125","1"
"3_月水金","20221128","1"
"3_月水金","20221130","1"
"3_月水金","20221202","1"
"3_月水金","20221205","1"
"3_月水金","20221207","1"
"3_月水金","20221209","1"
"3_月水金","20221212","1"
"3_月水金","20221214","1"
"3_月水金","20221216","1"
"3_月水金","20221219","1"
"3_月水金","20221221","1"
"3_月水金","20221223","1"
"3_月水金","20221226","1"
"3_月水金","20221228","1"
"3_月水金","20230104","1"
"3_月水金","20230106","1"
"3_月水金","20230111","1"
"3_月水金","20230113","1"
"3_月水金","20230116","1"
"3_月水金","20230118","1"
"3_月水金","20230120","1"
"3_月水金","20230123","1"
"3_月水金","20230125","1"
"3_月水金","20230127","1"
"3_月水金","20230130","1"
"3_月水金","20230201","1"
"3_月水金","20230203","1"
"3_月水金","20230206","1"
"3_月水金","20230208","1"
"3_月水金","20230210","1"
"3_月水金","20230213","1"
"3_月水金","20230215","1"
"3_月水金","20230217","1"
"3_月水金","20230220","1"
"3_月水金","20230222","1"
"3_月水金","20230224","1"
"3_月水金","20230227","1"
"3_月水金","20230301","1"
"3_月水金","20230303","1"
"3_月水金","20230306","1"
"3_月水金","20230308","1"
"3_月水金","20230310","1"
"3_月水金","20230313","1"
"3_月水金","20230315","1"
"3_月水金","20230317","1"
"3_月水金","20230320","1"
"3_月水金","20230322","1"
"3_月水金","20230324","1"
"3_月水金","20230327","1"
"3_月水金","20230329","1"
"3_月水金","20230331","1"
"3_水","20220406","1"
"3_水","20220413","1"
"3_水","20220420","1"
"3_水","20220427","1"
"3_水","20220511","1"
"3_水","20220518","1"
"3_水","20220525","1"
"3_水","20220601","1"
"3_水","20220608","1"
"3_水","20220615","1"
"3_水","20220622","1"
"3_水","20220629","1"
"3_水","20220706","1"
"3_水","20220713","1"
"3_水","20220720","1"
"3_水","20220727","1"
"3_水","20220803","1"
"3_水","20220810","1"
"3_水","20220817","1"
"3_水","20220824","1"
"3_水","20220831","1"
"3_水","20220907","1"
"3_水","20220914","1"
"3_水","20220921","1"
"3_水","20220928","1"
"3_水","20221005","1"
"3_水","20221012","1"
"3_水","20221019","1"
"3_水","20221026","1"
"3_水","20221102","1"
"3_水","20221109","1"
"3_水","20221116","1"
"3_水","20221130","1"
"3_水","20221207","1"
"3_水","20221214","1"
"3_水","20221221","1"
"3_水","20221228","1"
"3_水","20230104","1"
"3_水","20230111","1"
"3_水","20230118","1"
"3_水","20230125","1"
"3_水","20230201","1"
"3_水","20230208","1"
"3_水","20230215","1"
"3_水","20230222","1"
"3_水","20230301","1"
"3_水","20230308","1"
"3_水","20230315","1"
"3_水","20230322","1"
"3_水","20230329","1"
"3_▲","20220401","1"
"3_▲","20220404","1"
"3_▲","20220405","1"
"3_▲","20220407","1"
"3_▲","20220408","1"
"3_▲","20220411","1"
"3_▲","20220412","1"
"3_▲","20220414","1"
"3_▲","20220415","1"
"3_▲","20220418","1"
"3_▲","20220419","1"
"3_▲","20220421","1"
"3_▲","20220422","1"
"3_▲","20220425","1"
"3_▲","20220426","1"
"3_▲","20220428","1"
"3_▲","20220502","1"
"3_▲","20220506","1"
"3_▲","20220509","1"
"3_▲","20220510","1"
"3_▲","20220512","1"
"3_▲","20220513","1"
"3_▲","20220516","1"
"3_▲","20220517","1"
"3_▲","20220519","1"
"3_▲","20220520","1"
"3_▲","20220523","1"
"3_▲","20220524","1"
"3_▲","20220526","1"
"3_▲","20220527","1"
"3_▲","20220530","1"
"3_▲","20220531","1"
"3_▲","20220602","1"
"3_▲","20220603","1"
"3_▲","20220606","1"
"3_▲","20220607","1"
"3_▲","20220609","1"
"3_▲","20220610","1"
"3_▲","20220613","1"
"3_▲","20220614","1"
"3_▲","20220616","1"
"3_▲","20220617","1"
"3_▲","20220620","1"
"3_▲","20220621","1"
"3_▲","20220623","1"
"3_▲","20220624","1"
"3_▲","20220627","1"
"3_▲","20220628","1"
"3_▲","20220630","1"
"3_▲","20220701","1"
"3_▲","20220704","1"
"3_▲","20220705","1"
"3_▲","20220707","1"
"3_▲","20220708","1"
"3_▲","20220711","1"
"3_▲","20220712","1"
"3_▲","20220714","1"
"3_▲","20220715","1"
"3_▲","20220719","1"
"3_▲","20220721","1"
"3_▲","20220722","1"
"3_▲","20220725","1"
"3_▲","20220726","1"
"3_▲","20220728","1"
"3_▲","20220729","1"
"3_▲","20220801","1"
"3_▲","20220802","1"
"3_▲","20220804","1"
"3_▲","20220805","1"
"3_▲","20220808","1"
"3_▲","20220809","1"
"3_▲","20220812","1"
"3_▲","20220816","1"
"3_▲","20220818","1"
"3_▲","20220819","1"
"3_▲","20220822","1"
"3_▲","20220823","1"
"3_▲","20220825","1"
"3_▲","20220826","1"
"3_▲","20220829","1"
"3_▲","20220830","1"
"3_▲","20220901","1"
"3_▲","20220902","1"
"3_▲","20220905","1"
"3_▲","20220906","1"
"3_▲","20220908","1"
